epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,237.676,0.62664,0.60943,0.95525,0.6177,0.43478,0.45733,0.2398,1.53996,1.99361,1.74986,0.0008714,0.0008714,0.0008714
59,244.553,0.59847,0.59104,0.93788,0.48323,0.48913,0.41661,0.21444,1.52393,1.88503,1.74005,0.0008516,0.0008516,0.0008516
60,251.876,0.62853,0.61192,0.94256,0.58529,0.48913,0.4476,0.22254,1.5777,1.96913,1.77802,0.0008318,0.0008318,0.0008318
61,260.496,0.57603,0.5657,0.91337,0.58542,0.43478,0.43093,0.21193,1.63455,2.02351,1.83243,0.000812,0.000812,0.000812
62,270.131,0.60254,0.57964,0.92607,0.56535,0.40217,0.42429,0.21885,1.58679,2.09979,1.74117,0.0007922,0.0007922,0.0007922
63,282.776,0.57412,0.56527,0.92917,0.62435,0.40217,0.44609,0.21101,1.60607,2.05552,1.78739,0.0007724,0.0007724,0.0007724
64,296.152,0.59462,0.58579,0.93005,0.59668,0.38043,0.40788,0.19003,1.66549,2.14373,1.79791,0.0007526,0.0007526,0.0007526
65,311.628,0.58652,0.57203,0.93162,0.57035,0.38043,0.39362,0.1776,1.64897,2.26966,1.76219,0.0007328,0.0007328,0.0007328
66,326.949,0.57346,0.56264,0.93233,0.64832,0.40078,0.41575,0.19165,1.66601,2.15196,1.8031,0.000713,0.000713,0.000713
67,343.693,0.59349,0.57836,0.92323,0.68564,0.37933,0.43893,0.19828,1.62952,1.91158,1.81061,0.0006932,0.0006932,0.0006932
68,360.639,0.54965,0.54562,0.91037,0.67717,0.3913,0.43313,0.20685,1.59413,1.80137,1.81712,0.0006734,0.0006734,0.0006734
69,374.298,0.58381,0.57149,0.91799,0.64556,0.40217,0.44074,0.21197,1.56848,1.83281,1.8184,0.0006536,0.0006536,0.0006536
70,386.279,0.55655,0.53397,0.91262,0.624,0.41304,0.4276,0.21796,1.62154,1.85259,1.88957,0.0006338,0.0006338,0.0006338
71,401.428,0.5561,0.54355,0.91159,0.63257,0.36957,0.38748,0.19548,1.65802,1.79951,1.90554,0.000614,0.000614,0.000614
72,418.965,0.56613,0.55987,0.91269,0.56617,0.41139,0.41741,0.19408,1.61272,1.81188,1.86807,0.0005942,0.0005942,0.0005942
73,438.706,0.56217,0.5283,0.91422,0.55492,0.43369,0.42605,0.20549,1.52934,1.61595,1.83016,0.0005744,0.0005744,0.0005744
74,458.719,0.52112,0.49368,0.89043,0.66957,0.39651,0.4353,0.21308,1.56743,1.79621,1.81896,0.0005546,0.0005546,0.0005546
75,474.749,0.53415,0.50639,0.89727,0.66022,0.36957,0.39967,0.18394,1.59845,1.91225,1.82559,0.0005348,0.0005348,0.0005348
76,489.081,0.54949,0.53328,0.89976,0.69414,0.37004,0.39794,0.18342,1.61112,1.89322,1.86644,0.000515,0.000515,0.000515
77,500.692,0.53946,0.49779,0.89773,0.66346,0.41304,0.40468,0.18846,1.5823,1.87005,1.86102,0.0004952,0.0004952,0.0004952
78,512.085,0.53468,0.50271,0.90997,0.60403,0.41304,0.42207,0.2015,1.5753,1.7657,1.87081,0.0004754,0.0004754,0.0004754
79,523.893,0.5333,0.52156,0.89886,0.57503,0.42391,0.43293,0.2129,1.53761,1.76678,1.8324,0.0004556,0.0004556,0.0004556
